CODIGO,NeighborhoodBogota,Latitude,Longitude
2,CHAPINERO,4.6569,-74.0467
6,TUNJUELITO,4.5875,-74.1407
15,ANTONIO NARIÑO,4.589768,-74.099060
16,PUENTE ARANDA,4.614900,-74.1227
1,USAQUÉN,4.730458,-74.035666
0,BOGOTÁ,4.644584,-74.065630
7,BOSA,4.6305,-74.1945
19,CIUDAD BOLÍVAR,4.556728,-74.149655
18,RAFAEL URIBE URIBE,4.5653,-74.1164
8,KENNEDY,4.6268,-74.1573
12,BARRIOS UNIDOS,4.671811,-74.073197
10,ENGATIVÁ,4.707100,-74.1072
20,SUMAPAZ,4.034746,-74.315224
13,TEUSAQUILLO,4.6448,-74.0938
17,LA CANDELARIA,4.5939,-74.0739
3,SANTA FE,4.612613,-74.057481
11,SUBA,4.739453,-74.075097
9,FONTIBÓN,4.6832,-74.1479
14,LOS MÁRTIRES,4.610042,-74.091128
4,SAN CRISTOBAL,4.546300,-74.0883
5,USME,4.506709,-74.103958
